100000 10000 100 
0 0.01
1 10000 400
0 0.01
1 10000 100
0 0.03
start: 23.11.03 20:09:27 
Gain1:10
Gain2:20
Gain3:
Gain4:10
PID/P:+5E+0
PID/I:+1E+3
OvenT: 83
Calibration: XI390@85K, 1.17, 1.8
Toffset: 0
Toffset: 0
Time	 Diff Temp	 Ref Temp	 SRc	 SRh	 RRc	 RRh	 U_PID_Out	 Utotal	DiffTempInK	RefHR	AVTempInK	PowerDiff	SampleTemp	SampleHR	Cp
0E+0	1.78914658E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.19528364E-1	2.19408743E-1	5.14894833E-1	5.138557E-1	7.26567598E-2	NaN	9.99725662E+1	3.91878662E-3	1.00045223E+2	2.07561548E+3	4.27265438E-2
1.1E-5	1.85160269E-2	2.03451888E-1	2.1861419E-1	2.17731865E-1	2.19528364E-1	2.19408743E-1	5.13957208E-1	5.12293003E-1	7.51983851E-2	NaN	9.99471928E+1	4.01566751E-3	1.00022391E+2	-2.07561548E+3	4.28197553E-2
2.2E-5	1.82349744E-2	2.03451888E-1	2.17989471E-1	2.17731865E-1	2.19216143E-1	2.19096245E-1	5.13332125E-1	5.12605542E-1	7.40570816E-2	NaN	9.99471928E+1	3.97465864E-3	1.0002125E+2	-1.03754862E+2	4.28607641E-2
3.3E-5	1.82974306E-2	2.04076609E-1	2.17677111E-1	2.17107104E-1	2.185917E-1	2.18471249E-1	5.13019584E-1	5.11355384E-1	7.42996813E-2	NaN	9.99979377E+1	3.9723332E-3	1.00072237E+2	4.63522804E+3	4.26729972E-2
4.4E-5	1.75479572E-2	2.03764248E-1	2.1861419E-1	2.17731865E-1	2.18903921E-1	2.18471249E-1	5.13019584E-1	5.12605542E-1	7.12619259E-2	NaN	9.99725662E+1	3.86863072E-3	1.00043828E+2	-2.58266077E+3	4.27766997E-2
5.5E-5	1.80788342E-2	2.04076609E-1	2.17989471E-1	2.17107104E-1	2.19528364E-1	2.18783747E-1	5.13019584E-1	5.11667924E-1	7.34121305E-2	-9.22668932E+1	9.99979377E+1	3.94040339E-3	1.0007135E+2	2.50197434E+3	4.2704927E-2
6.6E-5	1.74855011E-2	2.03451888E-1	2.17052392E-1	2.16794723E-1	2.18903921E-1	2.18783747E-1	5.12707042E-1	5.11980463E-1	7.10135871E-2	-2.76786989E+2	9.99471928E+1	3.86528721E-3	1.00018206E+2	-4.83122293E+3	4.29701356E-2
7.7E-5	1.78290097E-2	2.03451888E-1	2.17364751E-1	2.17107104E-1	2.185917E-1	2.18471249E-1	5.12081959E-1	5.11667924E-1	7.24085254E-2	-1.84520096E+2	9.99471928E+1	3.91541839E-3	1.00019601E+2	1.26812579E+2	4.29200044E-2
8.8E-5	1.67672558E-2	2.03764248E-1	2.17989471E-1	2.18044246E-1	2.19528364E-1	2.18783747E-1	5.13019584E-1	5.11980463E-1	6.80918278E-2	-9.22532024E+1	9.99725662E+1	3.75462361E-3	1.00040658E+2	1.91424527E+3	4.28907068E-2
9.9E-5	1.77353256E-2	2.03451888E-1	2.1830183E-1	2.17731865E-1	2.19528364E-1	2.19096245E-1	5.13957208E-1	5.12918082E-1	7.20280883E-2	6.84541802E-3	9.99471928E+1	-3.46528604E-3	1.00019221E+2	-1.94883047E+3	5.03007088E-2
1.1E-4	1.76728694E-2	2.03764248E-1	2.17677111E-1	2.17731865E-1	2.18903921E-1	2.18783747E-1	5.13957208E-1	5.12293003E-1	7.17691389E-2	1.84540632E+2	9.99725662E+1	-3.49852161E-3	1.00044335E+2	2.28313148E+3	5.0143852E-2
1.21E-4	1.74542731E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.19528364E-1	2.18783747E-1	5.1426975E-1	5.12605542E-1	7.08815157E-2	2.7680068E+2	9.99725662E+1	-3.57485724E-3	1.00043448E+2	-8.06930183E+1	5.02201877E-2
1.32E-4	1.78290097E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.19528364E-1	2.19408743E-1	5.14582291E-1	5.138557E-1	7.24031541E-2	9.22668932E+1	9.99725662E+1	-3.44399723E-3	1.00044969E+2	1.3833076E+2	5.00893277E-2
1.43E-4	1.78602378E-2	2.03764248E-1	2.17989471E-1	2.17107104E-1	2.19216143E-1	2.19096245E-1	5.14582291E-1	5.12918082E-1	7.25299569E-2	0E+0	9.99725662E+1	3.91422719E-3	1.00045096E+2	1.15275356E+1	4.27311032E-2
1.54E-4	1.67984839E-2	2.03764248E-1	2.1830183E-1	2.17731865E-1	2.19216143E-1	2.18471249E-1	5.13332125E-1	5.12605542E-1	6.82186323E-2	-9.22668932E+1	9.99725662E+1	3.75918434E-3	1.00040785E+2	-3.91938606E+2	4.28861461E-2
1.65E-4	1.67360278E-2	2.03764248E-1	2.1861419E-1	2.18356627E-1	2.19528364E-1	2.19096245E-1	5.14582291E-1	5.13543161E-1	6.79650233E-2	-2.7680068E+2	9.99725662E+1	3.75006286E-3	1.00040531E+2	-2.30553658E+1	4.28952676E-2
1.76E-4	1.61114667E-2	2.03451888E-1	2.17989471E-1	2.17419484E-1	2.18903921E-1	2.18783747E-1	5.13332125E-1	5.12293003E-1	6.54337768E-2	-3.69067573E+2	9.99471928E+1	3.66471838E-3	1.00012627E+2	-2.53678565E+3	4.31707044E-2
1.87E-4	1.6829712E-2	2.03764248E-1	2.17677111E-1	2.17419484E-1	2.19216143E-1	2.18783747E-1	5.13332125E-1	5.12293003E-1	6.83454367E-2	-2.7680068E+2	9.99725662E+1	3.76374503E-3	1.00040912E+2	2.57136869E+3	4.28815854E-2
1.98E-4	1.68921681E-2	2.03451888E-1	2.17364751E-1	2.17107104E-1	2.19216143E-1	2.19096245E-1	5.13332125E-1	5.12605542E-1	6.86041347E-2	-3.69067573E+2	9.99471928E+1	3.7786866E-3	1.00015797E+2	-2.28315433E+3	4.30567362E-2
2.09E-4	1.6298835E-2	2.03451888E-1	2.17989471E-1	2.17731865E-1	2.18903921E-1	2.18471249E-1	5.13019584E-1	5.11980463E-1	6.61946653E-2	-1.84533786E+2	9.99471928E+1	3.69207282E-3	1.00013387E+2	-2.19042668E+2	4.314335E-2
2.2E-4	1.90156758E-2	2.03451888E-1	2.17677111E-1	2.17107104E-1	2.18903921E-1	2.18471249E-1	5.13332125E-1	5.11980463E-1	7.72273597E-2	4.8316906E-13	9.99471928E+1	-3.01829919E-3	1.0002442E+2	1.00297221E+3	4.9853722E-2
2.31E-4	1.85160269E-2	2.03451888E-1	2.1830183E-1	2.17419484E-1	2.18903921E-1	2.18471249E-1	5.12707042E-1	5.12605542E-1	7.51983851E-2	1.84533786E+2	9.99471928E+1	-3.1927258E-3	1.00022391E+2	-1.84452234E+2	5.00281486E-2
2.42E-4	1.77353256E-2	2.03451888E-1	2.1861419E-1	2.17731865E-1	2.19216143E-1	2.18783747E-1	5.13957208E-1	5.13230621E-1	7.20280883E-2	1.84533786E+2	9.99471928E+1	-3.46528604E-3	1.00019221E+2	-2.88208805E+2	5.03007088E-2
2.53E-4	1.61739228E-2	2.03764248E-1	2.17989471E-1	2.17731865E-1	2.19528364E-1	2.19096245E-1	5.13644667E-1	5.12918082E-1	6.56825336E-2	3.69067573E+2	9.99725662E+1	-4.02200198E-3	1.00038249E+2	1.72980372E+3	5.06673324E-2
2.64E-4	1.74855011E-2	2.03764248E-1	2.1861419E-1	2.18669007E-1	2.19840586E-1	2.19408743E-1	5.14894833E-1	5.1416824E-1	7.10083191E-2	1.84533786E+2	9.99725662E+1	-3.56395206E-3	1.00043574E+2	4.84162324E+2	5.02092825E-2
2.75E-4	1.69233961E-2	2.03764248E-1	2.17052392E-1	2.17419484E-1	2.185917E-1	2.18471249E-1	5.13019584E-1	5.11980463E-1	6.87258498E-2	9.22668932E+1	9.99725662E+1	-3.7602513E-3	1.00041292E+2	-2.07497217E+2	5.04055817E-2
2.86E-4	1.6267607E-2	2.03451888E-1	2.17989471E-1	2.18044246E-1	2.19216143E-1	2.18783747E-1	5.13957208E-1	5.13230621E-1	6.60678507E-2	4.80326889E-13	9.99471928E+1	-3.97776103E-3	1.00013261E+2	-2.54830861E+3	5.08131838E-2
2.97E-4	1.65486595E-2	2.03764248E-1	2.1830183E-1	2.17731865E-1	2.19528364E-1	2.19408743E-1	5.14582291E-1	5.13230621E-1	6.72041951E-2	9.22668932E+1	9.99725662E+1	-3.891124E-3	1.0003977E+2	2.40997636E+3	5.05364544E-2
3.08E-4	1.67047997E-2	2.03451888E-1	2.1861419E-1	2.18044246E-1	2.19528364E-1	2.19408743E-1	5.13957208E-1	5.13543161E-1	6.78432515E-2	9.22600478E+1	9.99471928E+1	-3.82510051E-3	1.00015036E+2	-2.24857629E+3	5.06605233E-2
3.19E-4	1.75791853E-2	2.03764248E-1	2.1830183E-1	2.17419484E-1	2.19528364E-1	2.18783747E-1	5.13957208E-1	5.12605542E-1	7.13887292E-2	2.76793834E+2	9.99725662E+1	-3.53123665E-3	1.00043955E+2	2.62898849E+3	5.01765671E-2
3.3E-4	1.61114667E-2	2.03764248E-1	2.17677111E-1	2.18044246E-1	2.19216143E-1	2.1815875E-1	5.12707042E-1	5.11355384E-1	6.54289227E-2	3.69053882E+2	9.99725662E+1	-4.04381548E-3	1.00037995E+2	-5.41800596E+2	5.06891459E-2
